Name,Gender,Race,Appearance,Background,Goals,Personality,Profession,Quest Reward,Secret,Mothers Name,Fathers Name,Number of Brothers,Number of Sisters
Arryn Love,Female,Human,Laughs nervously,Practiced magic before a traumatizing accident,Find a missing child,Compulsively wipes or cleans things,Seer,Bury or hide something dangerous,Definately not a doppelganger,Gladys,Egmardern,1,3
Daburn Cowley,Male,Human,Compulsive blinking,Former witch hunter,Murder someone,Compulsively wipes or cleans things,Hornmaker,Pay for your lodgings,an attractive peasant,Prydwen,Drakone,0,0
Druce Whyte,Male,Human,Blonde hair,Former alchemy lab assistant,Get a good night’s sleep,Know-it-all,Minstrel,Buy you a small gift,Knows who really runs the neighborhood,Pascheine,Gwyn,0,0
Mila Matharnach,Female,Human,Generally filthy,Comes from a long line of tanners,Get into the history books,Very superstitious; insists on carrying out elaborate practices to attract good luck and avoid bad,Blacksmith,Marry you,Has a secret library/map,Gweneth,Merdon,0,0
Mallolwch Graham,Male,Human,Eyebrows meet,Military veteran,See the ocean,Has an imaginary ethereal friend,Carpet Weaver,Wait for a specific event and then light a signal fire,Knows what happened to all the rats,Brenda,Sinnoch,3,0
Bethan Swanson,Female,Human,No teeth,Abandoned spouse and children,Learn to gamble,Expert cook,Animal Keeper,Bury or hide something dangerous,Was a very different creature prior to reincarnation,Sidara,Jin,4,4
Madarlon Dowell,Male,Human,Rotten teeth,Lost a spouse or child,Discover the meaning of life,Gives people treats (cookies candy etc.),Acolyte,Lie or cheat for you,Knows proper way to read a treasure map,Freya,Llacheu,0,0
Quid Robison,Male,Human,Laughs nervously,Monster reincarnated as a human,Discover the meaning of life,Complains about smells no one else notices,Ranger,Carry a message for you,Is an assassin,Alaw,Caledvwlch,4,0
Gladwin Matheson,Male,Dwarf - Hill,Distinctive jewelry,Inadvertently saved the life of a future villain,Finish reading the holy texts,Speaks loudly,Farrier,Compose a poem praising your prowess,Is a spy,Eiddwen,Lafornon,0,0
Ol Grant,Male,Human,Double-chinned,Outwitted powerful monster,Travel,Likes to count things and have fun with numbers,Master,Agree to work off a major debt that you cannot pay,Is making liquor illegally,Ceinwen,Llacheu,4,2
Chesmarn McCune,Male,Human,Homely,Former artist suffering from a creative block,Get cured of a disease or other affliction,Carries around a notebook to write down important information but has trouble reading own handwriting,Bandit,Carry a message for you,Knows location of a bandit hideout,Amelina,Werbenec,0,0
Tajule Anderson,Female,Human,Unusual skin color,Military veteran,Earn enough money to retire,Grows more and more relaxed the worse things get; conversely on edge and nervous when things seem to go well,Sailor,Sharpen your weapons,Knows where a magic item is buried,Sennetta,Edern,0,1
Ada Johnston,Female,Human,Black hair,Killed someone in self-defense,Sire a child,Know-it-all,Blacksmith,Take the blame (and punishment) for a minor crime,Knows command word for a magic item,Anna,Adda,0,0
Lili Brùn,Female,Human,Compulsive blinking,Former witch hunter,Help child get a good start in life,Blames trolls for every trouble he encounters,Master,Bury or hide something dangerous,Is an obsessive collector or hoarder,Keladry,Senick,0,0
Gothar Johnston,Male,Human,Unusual hair color,Once owned an inn that was burnt down by bandits,Learn necromantic magic and ressurect Grandmother,Sniffs or tastes things,Bookbinder,Train an animal for you,Is quietly religious,Gvene,Naw,0,0
Dalburn Meiklejohn,Male,Human,Limps,Pious member of a notorious family,Learn to gamble,From a place with different customs; often asks for explanations of everyday things,Chaplain,Will give you mysterious egg,Knows why no one in the village eats meat anymore,Fayne,Neued,0,2
Ffion Reid,Female,Human,Enormous sideburns,Orphaned,Get a different and better reputation,Expert juggler,Sacristan,Become your squire,Knows who really runs the neighborhood,Sorcha,Firedorn,2,3
Undaria Darrochetc.,Female,Gnome - Rock,No fingers on one hand,Starving artist,Go on a pilgrimage,Snickers or laughs at the misfortune of others,Baker,Tend your mount,Has a secret library/map,Kilyne,Cain,2,2
Penllyn Moireasdanach,Male,Human,Compulsive blinking,Former witch hunter,Prove noble heritage,Absent-minded,Herbalist,Spy on your behalf,Knows a particular monster’s favorite snack,Nymira,Ikar,0,0
Ren Beith,Male,Human,Avoids making eye contact,Oppressed for race sexuality religion etc.,Commit a holy text to memory,Occasionally chants annoying little rhymes,Herbalist,Write a letter or make some other sort of appeal to an authority figure on your behalf,Has some troll blood in their family,Keladry,Peissawg,0,0
Ledale Bhodhsa,Male,Human,Sneezes a lot,Fought on losing side of civil war/revolution,Become a hero,Is a very distant noble and treats lower orders with disdain,Nursemaid,Buy you a small gift,Lost paladinhood due to cowardice,Briony,Celorn,0,0
Tremayne Gunn,Male,Human,Stubby fingers,Practiced magic before a traumatizing accident,Go on a pilgrimage,Prone to predictions of doom,Glassblower,Agree to work off a major debt that you cannot pay,Is quietly religious,Meleri,Cardon,1,3
Branwen Grannd,Female,Human,Compulsive blinking,Orphaned,Cross an ocean,Tosses a coin to make decisions,Playwright,Loan you property,Knows why no one swims in the millpond anymore,Idona,Liphanes,0,0
Maelwys Davie,Male,Human,Nervous eye twitch,Oppressed for race sexuality religion etc.,See the ocean,Always tries to find a compromise,Embalmer,Organize a festival or other public event,Engages in some deviant behavior,Mabel,Dyffryn,0,0
Eard Robson,Male,Human,Cross-eyed,Former sickly child who overcompensates as an adult,See an angel,Blames trolls for every trouble he encounters,Ambassador,Perform a skill check for you,Lost paladinhood due to cowardice,Eurwen,Riandur,0,0
Ahanna Sutharlainn,Female,Dwarf - Hill,Scarred from pox,Outwitted powerful monster,Find a holy relic/lost artifact,Always has a reason why something won’t work,Master,Offers a smooth high five,Is an obsessive collector or hoarder,Irwen,Kellan,3,2
Mali Gilroy,Female,Tabaxi,Thin-lipped,Raised by members of a different race,Get proof that the afterlife exists before dying,Complains about smells no one else notices,Warlock,Offer you a pet (dog cat pig etc.),Knows some local secret,Elenydd,Efar,0,0
Mati Melluish,Female,Human,Big nose,Military veteran,Master a musical instrument,When talking to someone says that person’s name a lot,Puppeteer,Pay for your lodgings,Has some orc blood in their family,Bridonna,Cipyar,0,0
Heilyn Drummond,Male,Firbolg,Calloused hands,Former torturer,Rule a country,Great at impersonations,Seer,Praise you loudly in public,Is terrified of a particular monster type,Alaw,Xuio,0,0
Kressara Callan,Female,Goliath,Eye patch,Child of forbidden love,Sire a child,Paces,Precentor,Carry a message for you,Knows how to placate an angry ghost,Ebrill,Ault,4,4
Niraya McCown,Female,Human,Scratches a lot,Used to have to beg for food,Find a holy relic/lost artifact,Aversion to a specific colour,Herbalist,Carry a message for you,Knows why no one swims in the millpond anymore,Laela,Ap-Maddock,0,3
Torina Crabbie,Female,Human,Unusual hair color,Lost a spouse or child,Get into the history books,Easily distracted by minor events in the area,Wheelwright,Sharpen your weapons,Knows where to contact the fey,Betsan,Vinald,4,1
Eliza Ivory,Female,Half Orc,Glass eye,Practiced magic before a traumatizing accident,Redeem family name,Often appears surprised and slightly offended when spoken to,Herbalist,Become your cohort,Is terrified of a particular monster type,Bianca,Orin,0,0
Raederle Qu'er,Female,Human,Short hair,Left at the altar,Find a holy relic/lost artifact,Particularly low or high voice,Herbalist,Bury or hide something dangerous,Knows who really runs the neighborhood,Brynhilde,Rethik,0,0
Men Winning,Female,Human,Black hair,Once owned an inn that was burnt down by bandits,Visit the next village,Uses colorful oaths and exclamations,Bricklayer,Sell you goods at a discount,Hears voices in the graveyard,Ceri,Hen Was,4,0
Enoona Bishop,Female,Human,Glass eye,Lifelong fisher,Become a monster,Always eating,Miller,Write a letter or make some other sort of appeal to an authority figure on your behalf,Knows why no one in the village eats meat anymore,Cristyn,Kibddar,0,0
Aslan Lamont,Male,Human,Scarred face,Abusive childhood,Redeem family name,From a place with different customs; often asks for explanations of everyday things,Cook,Spy on your behalf,Is having an affair,Naria,Nuthor,0,1
Siawn Fullarton,Male,Tabaxi,Missing a finger,Practiced magic before a traumatizing accident,Get a good night’s sleep,Has a seemingly endless font of gossip; never stops chattering about various rumors and scandals,Courier,Boycott one of your rivals or enemies,Engages in some deviant behavior,Errinaya,Ap-Rhys,0,4
Floran Weir,Male,Human,Cross-eyed,Abusive childhood,Get in better shape and learn to fight,Unbelievably lucky,Warrener,Sharpen your weapons,Knows location of a bandit hideout,Efari,Gwryon,2,1
Ciroc Mains,Male,Human,Double-chinned,Passed a guild test but too disillusioned to practice,Complete some sort of creative work (write a playcarve a statue etc.),Skilled dancer,Cooper,Write a letter or make some other sort of appeal to an authority figure on your behalf,Is having an affair,Hyza,Besurlde,0,0
Kynlas Anderson,Male,Human,Enormous sideburns,Ran for office and suffered a humiliating defeat,Solve a murder,Hallucinates,Fletcher,Pay for your lodgings,Is having an affair,Aeronwen,Gwerthmwl,0,0
Gwynn Urchadainn,Female,Human,Covered in cysts,Once owned an inn that was burnt down by bandits,Rule a country,Makes token bets about minor things,Lady in Waiting,Loan you property,Is wanted for a crime,Efari,Crist,0,0
Marged Matheson,Female,Human,Very hairy,Abusive childhood,Avenge the death of their brother,Paces,Scholar,Gather supplies for you,Worships an evil deity,Carwen,Coch,3,3
Achard Colquhoun,Male,Human,Enormous sideburns,Starving artist,Find buried treasure,Gives people treats (cookies candy etc.),Stablehand,Tell you forbidden lore,Knows command word for a magic item,Iona,Besurlde,4,4
Modric Moireasdan,Male,Human,Nervous eye twitch,Outwitted powerful monster,Find a better job,Expert juggler,Slaver,Pray for you,Owes the local moneylender substantial funds,Ysane,Evrei,0,0
Lyn Graham,Female,Human,Jolly looking,Refugee from land overrun by evil,Marry a childhood sweetheart,Bites fingernails,Singer,Publicly protest against a ruler or other powerful being,Knows who the murderer is,Aneira,Steven,0,0
Lowri Nelson,Female,Human,Missing a finger,Inadvertently saved the life of a future villain,Find a missing child,Haggles over everything,Bearer,Publicly protest against a ruler or other powerful being,Knows why no one swims in the millpond anymore,Morgaine,Gemardt,0,0
Renie Fulton,Female,Human,Obscenely fat,Oppressed for race sexuality religion etc.,Erase past failures with a single dramatic act,Know-it-all,Scholar,Buy you a substantial gift,Knows proper way to read a treasure map,Tajule,Kynan,0,0
Maddox Blacach,Male,Human,Wide mouthed,Oppressed for race sexuality religion etc.,Earn enough money to retire,Makes animal noises when feeling threatened or excited,Butler,Become your squire,Lost paladinhood due to cowardice,Nerys,Setlo,0,0
Kelli Blàrach,Male,Human,Pierced ears,Pious member of a notorious family,Get cured of a disease or other affliction,Careless about possessions spends lots of time searching for overlooked nearby objects,Wheelwright,Wash or mend your clothes and equipment,Knows command word for a magic item,Ani,Safilix,0,0
Sanala Malcolm(son),Female,Tiefling,Cracks knuckles,Recovering addict,Get a good night’s sleep,Makes lots of threats but swiftly backs down if challenged,Pardoner,Agree to work off a major debt that you cannot pay,Is being blackmailed,Gwenyth,Padrig,1,4
Ahanna Drummond,Female,Human,ored hair,Lifelong fisher,Erase past failures with a single dramatic act,Cannot keep a secret,Torturer,Offer you a pet (dog cat pig etc.),Knows where to contact the fey,Mirayam,Daermod,0,0
Goreu Moireach,Male,Tiefling,Missing teeth,Lifelong fisher,Murder someone,Speaks loudly,Sign Maker,Take the blame (and punishment) for a minor crime,Has a secret library/map,Gwennan,Kiden,1,0
Hen Was Comyn,Male,Human,Stubbly,Former Dragon trainer,Move out of parents’ house,Very jealous and possessive about a particular object or person; tends to view others as rivals and treat them as such,Prelate,Write a letter or make some other sort of appeal to an authority figure on your behalf,Knows who really runs the neighborhood,Buddug,Ynyr,0,0
Gwawr Dùghlas,Female,Human,Thin-lipped,Used to have to beg for food,Marry a childhood sweetheart,Hallucinates,Leatherworker,Start a fight for you,Owes the local moneylender substantial funds,Donna,Gwitart,4,1
Coch Charleson,Male,Human,Stubby fingers,Falsely convicted and then escaped from jail,Own a winery/brewery,Makes constant jokes or puns,Fisherman,Offer the hand of a relative in marriage,Is terrified of a particular monster type,Lynessa,Jespar,1,3
Q’ara Mahaffie,Female,Human,Piercings,Once owned an inn that was burnt down by bandits,Finish reading the holy texts,Is a little unhinged when the moon is full,Singer,Tell you forbidden lore,Murdered spouse,Cecily,Kaldar,1,1
Keudawg Chandlish,Male,Human,Cracks knuckles,Inadvertently saved the life of a future villain,Return home despite obstacles,Says everything in a profound way,Water Carrier,Wash or mend your clothes and equipment,Knows where a magic item is buried,Halete,Braen,2,3
Ercwlff Forbes,Male,Human,Calloused hands,Was a fat child,Survive a journey to Avernus,Cynical,Skinner,Follow someone for you,Knows when the heir to the throne sneaks away to,Olwen,Anghrist,0,0
Ap-Howell Maor,Male,Human,Bright eyes,Oppressed for race sexuality religion etc.,Find a new home for a mistreated animal,Frequently uses the wrong word,Merchant,Become your cohort,Knows proper way to read a treasure map,Sepherene,Marderdeen,3,1
Rivatha Baran,Female,Human,Short,Lifelong fisher,Find buried treasure,Fidgets,Historian,Provide shelter,Is a member of a secret local cult,Alis,Rhioganedd,0,0
Zephale Loganach,Female,Elf - High,Eye patch,Former indentured servant,Get into the history books,When talking to someone says that person’s name a lot,Knight,Buy you a reasonable gift,Has a secret identity,Naria,Cipyar,0,0
Grugyn Chisholm,Male,Human,Scarred from pox,Former Dragon trainer,Find a better job,Thinks most objects are magical wondrous items,Prelate,Marry you,Murdered spouse,Mabeline,Iustig,0,1
Men Purcell,Female,Human,Calloused hands,Abusive childhood,See the ocean,Constantly suggesting ways to make activities more “fun” and “exciting”,Squire,Wash or mend your clothes and equipment,Beats offspring regularly,Pomeline,Aysen,1,0
Gwethana Milfrederick,Female,Human,Big nose,Pledged to keep a fantastic secret,Get into the history books,Expert juggler,Diplomat,Publicly protest against a ruler or other powerful being,Makes secret donations,Ifanna,Dapvhir,0,2
Tabika Mahaffie,Female,Human,Sweet smile,Military veteran,Start own business,Avoids making any kind of physical contact; grows noticeably repulsed if touched and tries to clean self as soon as possible,Limner,Become your friend,Knows command word for a magic item,Rosalind,Kent,2,1
Ekgamut Gòrdan,Male,Human,Yellow teeth,Raised by members of a different race,Achieve a higher social rank,Very superstitious; insists on carrying out elaborate practices to attract good luck and avoid bad,Scrivener,Write a letter or make some other sort of appeal to an authority figure on your behalf,Is a member of a secret local cult,Cecily,Daburn,0,0
Gosford Caolaisdean,Male,Human,Beard,Fought on losing side of civil war/revolution,Sire a child,Occasionally chants annoying little rhymes,Historian,Carry your belongings,Is being blackmailed,Zoura,Pelphides,1,2
Gweir Catach,Male,Human,Noticably bigger right arm,Failed priest,Rule a country,Twirls hair or tugs beard,Fire Eater,Sharpen your weapons,Is having an affair,Gwynedd,Dywel,1,2
Kassina Blackie,Female,Human,Missing teeth,Military veteran,Get cured of a disease or other affliction,Makes animal noises when feeling threatened or excited,Cask Maker,Spy on your behalf,Knows when the heir to the throne sneaks away to,Awnia,Greid,4,2
Ticharol Frazer,Male,Human,Rotten teeth,Former devout discipline now cynical non-believer,Move out of parents’ house,Has an imaginary ethereal friend,Actor,Praise you loudly in public,Has a secret stash of funds,Elain,Cadwallen,0,0
Gwenith Anderson,Female,Human,Avoids making eye contact,Failed priest,Redeem family name,From a place with different customs; often asks for explanations of everyday things,Barrister,Praise you loudly in public,Beats offspring regularly,Tysinni,Shard,0,0
Darmor Matheson,Male,Human,Covered in cysts,Monster reincarnated as a human,Become one of "them",Collects small relatively worthless objects like spoons salt shakers or wine corks; enthusiastically inspects any encountered and extols their “unique” qualities,Deckhand,Buy you a small gift,Definately not a doppelganger,Renie,Heilyn,0,0
Mafar Drummond,Male,Human,Pierced ears,Orphaned,Build a house for future generations,Prone to predictions of doom,Spy,Provide you with an alibi,Is wanted for a crime,Zathe,Selyv,0,0
Keudawg Boyd,Male,Human,Covered in tattoos,Monster reincarnated as a human,Solve a murder,Thinks most objects are magical wondrous items,Oracle,Spy on your behalf,Is wanted for a crime,Aerin,Milo,0,0
Glenda Luke,Female,Human,Bright eyes,Encountered a dragon transformed by the experience,Get proof that the afterlife exists before dying,Prays a lot,Hornmaker,Pay for your lodgings,Worships an evil deity,Zestia,Brys,0,0
Rhian Todd,Female,Human,One pierced ear,Criminal who retired after betraying rest of gang,Achieve a higher social rank,Unbelievably lucky,Infirmarer,Sabotage a bridge road or something equally important,Knows the best fishing spot,Alwen,Peredur,0,2
Kei Bochanan,Male,Dwarf - Mountain,Missing fingers,Recovering addict,Return home despite obstacles,Aversion to a specific colour,Squire,Praise you loudly in public,Can grow hair if they push really hard,Elenydd,Jex,0,0
Nothar Chrystal,Male,Human,Tattoos,Pious member of a notorious family,Start own business,Gives people nicknames or uses terms of endearment,Haberdasher,Cast a spell for you at no cost,Knows where to contact the fey,Hyza,Rythern,4,0
Undaria Gall,Female,Human,Major deformity,Outwitted powerful monster,Get a different and better reputation,Expert carpenter,Linkboy,Become your follower,Knows what happened to all the rats,Aurora,Gibolt,2,3
Meleri Suthurlanach,Female,Human,Hobbles,Escaped slave,Get a different and better reputation,Makes snap judgments about people or situations and tries to diminish any later evidence contradicting that first impression,Poacher,Become your cohort,Is terrified of a particular monster type,Adorra,Derik,0,0
Elodie Revie,Female,Human,Giggles,Former devout discipline now cynical non-believer,Find a new home for a mistreated animal,Gets angrier and more determined with each setback,Rope Maker,Pay for your meals,Knows who really runs the neighborhood,Chani,Price,4,4
Ahanna Abbot,Female,Human,Major deformity,Military veteran,Become a hero,Know-it-all,Actor,Buy you a reasonable gift,Has a secret library/map,Eirianedd,Rismak,2,2
Govannon Marquis,Male,Human,Dirty nails,Orphaned,Learn to gamble,Openly scornful of organized religion and believes all gods are selfish liars,Hunter,Offers a smooth high five,Knows when the heir to the throne sneaks away to,Pomeline,Undin,0,0
Vildar Stuart,Male,Human,Homely,Fought on losing side of civil war/revolution,To die of old age surrounded by grandchildren,Self-loathing to an almost violent degree,Hospitaler,Raise a child or care for another relatively helpless creature,Drinks heavily,Yysara,Ioan,4,2
Tad Anderson,Male,Human,Beard,Used to have to beg for food,Find a new home for a mistreated animal,Blames trolls for every trouble he encounters,Water Carrier,Sabotage a bridge road or something equally important,Definately not a doppelganger,Manon,Kilwich,0,0
Luned Lìosach,Female,Human,Tattoos,Childhood playmate of somebody important,Become a monster,Careless about possessions spends lots of time searching for overlooked nearby objects,Singer,Organize a festival or other public event,Has magic beans,Aerin,Isen,0,0
Emma Ariss,Female,Human,Jolly looking,Ran away from a duel,Find a missing child,Doesn’t kill insects or other pests gently moves them out of the way instead,Scop,Compose a song praising your heroic qualities,Is wanted for a crime,Leontine,Llawvrodedd,4,0
Delyth Purser,Female,Human,Whistles when talking,Failed merchant,Murder someone,Speaks in rhyme or some other peculiar way,Chicken-keeper,Sabotage a bridge road or something equally important,Definately not a doppelganger,Carwen,Sawyl,0,0
Annest Maxwell,Female,Human,Terrible facial disease,Former witch hunter,Murder someone,Acts like someone from a lower social class as a sign of solidarity but comes across as offensive instead,Silversmith,Introduce you to a friend,Knows where to contact the fey,Olwen,Grugyn,3,2
Medyr Lìos,Male,Human,Very hairy,Abandoned spouse and children,Get a different and better reputation,Carries around a notebook to write down important information but has trouble reading own handwriting,Vicar,Raise a child or care for another relatively helpless creature,Worships an evil deity,Ilene,Senick,3,3
Annest McEown,Female,Human,Pronounced scar,Disgraced noble,Achieve a higher social rank,Speaks with great formality; never uses contractions and employs bigger words than necessary,Limner,Pay for your lodgings,Knows command word for a magic item,Cristyn,Llue,0,0
Ysane Arthur,Female,Human,Calloused hands,Failed priest,Find a missing child,Dark sense of humour,Glassblower,Become your cohort,Knows who the murderer is,Raederle,Kilwich,0,0
Brathach Graeme,Male,Human,Jolly looking,Former witch hunter,Cross an ocean,Has a particular core belief potentially a rather odd one and steadfastly looks at everything through the lens of that opinion,Engineer,Pay for your meals,Knows when the heir to the throne sneaks away to,Adorra,Caer Llion,0,0
Amynedd Lìosach,Male,Asasimar,Enormous sideburns,Ran away from a duel,Find a new home for a mistreated animal,Gives people treats (cookies candy etc.),Scaffolder,Spy on your behalf,Murdered spouse,Cyelena,Escariet,0,2
Ysberyr Riach,Male,Human,Enormous sideburns,Fought on losing side of civil war/revolution,Slay a dragon,Never turns down a dare or challenge,Surgeon,Cast a spell for you at no cost,Knows proper way to read a treasure map,Mallt ,Gib,2,4
Gwryon Marr,Male,Human,Pierced lip,Ran for office and suffered a humiliating defeat,Learn to gamble,Skilled actor and master of disguise,Water Carrier,Introduce you to a friend,Has a secret illness,Welisarne,Powell,3,0
Etar Kynoch,Male,Human,Gray hair,Used to have to beg for food,Get a different and better reputation,Easily distracted by minor events in the area,Tinker,Agree to work off a major debt that you cannot pay,Is a member of a secret local cult,Efa,Volux,3,4
Merin Hatton,Male,Human,Whistles when talking,Former artist suffering from a creative block,Get married,Expert cook,Fortune Teller,Start a fight for you,Knows the best fishing spot,Elena,Berth,0,0
Wyvorn Godfrey,Male,Human,Piercings,Former artist suffering from a creative block,Marry a childhood sweetheart,Makes lots of threats but swiftly backs down if challenged,Mercer,Train an animal for you,Is an obsessive collector or hoarder,Kilyne,Tremayne,3,3
Ol Roid,Male,Human,Unusual eye color (diff colour?),Disgraced noble,See the ocean,Is a very distant noble and treats lower orders with disdain,Architect,Pay for your meals,Worships an evil deity,Eirian,Pyder,0,0
Taran Mair,Male,Human,Clawed hands,Former devout discipline now cynical non-believer,Get a good night’s sleep,Prone to singing whistling or humming quietly,Masseuse,Provide you with an alibi,Is a spy,Desini,Jex,1,0
Mylene Flanagan,Female,Human,Dirty nails,Outwitted powerful monster,Get a different and better reputation,Very superstitious; insists on carrying out elaborate practices to attract good luck and avoid bad,Gatekeeper,Boycott one of your rivals or enemies,Definately not a doppelganger,Poppy,Sithik,4,3
Voladea Archibald,Female,Human,Very clean,Former indentured servant,Get into the history books,Skilled dancer,Merchant,Offer the hand of a relative in marriage,Is an obsessive collector or hoarder,Jessika,Gwyddawg,0,0
Gwydyon Monk,Male,Human,Bald,Former torturer,Sire a child,Likes to act mysteriously,Armorer,Marry you,Is secretly related to another NPC,Blodwyn,Amynedd,0,0
Werymn Nelson,Male,Human,Dreadlocks,Was a siamese twin,Cross an ocean,Very sensitive to criticism or conflict,Pitch Maker,Wash or mend your clothes and equipment,Engages in some deviant behavior,Ffion,Zio,3,2
Tycane Gibb,Female,Human,Pierced ears,Ran for office and suffered a humiliating defeat,Impress a love interest,Easily angered,Vicar,Perform a skill check for you,Has a secret illness,Brangwen,Tuk,3,1
Llassar Crerar,Male,Dwarf - Mountain,Big nose,Once owned an inn that was burnt down by bandits,Learn many languages,Has a seemingly endless font of gossip; never stops chattering about various rumors and scandals,Smith,Publicly protest against a ruler or other powerful being,Knows where the meteor landed,Akia,Llawr,3,1
Elodie Buchanan,Female,Human,Glasses,Killed someone in self-defense,Hunt and kill a particular sort of monster,Know-it-all,Guide,Gather supplies for you,Is a spy,Iola,Aldaren,0,0
Glewlwyd Blane,Male,Human,Harelipped,Military veteran,Climb a mountain,Aversion to a specific colour,Shepherd,Offer the hand of a relative in marriage,Knows where the meteor landed,Betsan,Letor,0,0
Naphates Grierson,Male,Human,Exceptionally beautiful,Former artist suffering from a creative block,Learn to gamble,Always agrees (but changes mind just as easily),Banker,Wash or mend your clothes and equipment,Is an assassin,Tybressa,Llwybyr,0,0
Kei Harper,Male,Human,Horrible facial scars,Passed a guild test but too disillusioned to practice,Avoid bankruptcy,Asks a kobold glove puppet its opinion at inopportune moments,Brassworker,Loan you property,Knows the best fishing spot,Haf,Sythril,0,0
Cain Morganach,Male,Human,Gray hair,Failed merchant,Solve a murder,Never uses one word when ten will do,Sculptor,Name a child after you,Knows who the murderer is,Bathelie,Clust,2,4
Zecele Donn,Female,Half Orc,Tattoo,Comes from a long line of tanners,Redeem family name,Frequently uses the wrong word,Diplomat,Compose a poem praising your prowess,Is terrified of a particular monster type,Kilyne,Lin,0,0
Zerin Wallace,Male,Human,White hair,Former Dragon trainer,Build a house for future generations,Propositions any even remotely attractive person encountered but makes panicked excuses should someone accept the offer,Mummer,Offers a smooth high five,Knows who the murderer is,Glesni,Culvanawd,0,0
Loban Beaton,Male,Human,Missing a leg,Abandoned spouse and children,Become a hero,Speaks several languages fluently,Jeweler,Pray for you,Was a very different creature prior to reincarnation,Gweneth,Garnock,2,2
Naw Melluish,Male,Human,Covered in cysts,Criminal who retired after betraying rest of gang,Wants to taste turtle meat,Speaks in rhyme or some other peculiar way,Boatswain,Raise a child or care for another relatively helpless creature,Knows who the murderer is,Nesta,Hasten,0,0
Maelwys Gallach,Male,Human,Tattoos,Left at the altar,Find a new home for a mistreated animal,Wishes was a cat and seeks someone to polymorph him/her into one,Dyer,Train an animal for you,Lost paladinhood due to cowardice,Ffion,Kynwal,4,4
Teithi Catach,Male,Human,Scarred face,Disgraced noble,Visit the 7th Heaven,Speaks in rhyme or some other peculiar way,Painter,Organize a festival or other public event,Knows why no one in the village eats meat anymore,Ebrill,Arian,1,1
Rethik Gilmore,Male,Human,Short hair,Former artist suffering from a creative block,Find a holy relic/lost artifact,Never tires of learning new and interesting bits of knowledge,Smuggler,Call in an important favor and use it on your behalf,Knows why no one in the village eats meat anymore,Angharad,Egmardern,0,0
Deathmar Grant,Male,Human,Gray hair,Wanted for serious crime,Learn many languages,Says everything in a profound way,Gentleman,Pray for you,Has a secret library/map,Elinor,Airis,0,0
Zephere Cassie,Female,Human,Avoids making eye contact,Passed a guild test but too disillusioned to practice,Climb a mountain,Compulsively wipes or cleans things,Coin minter,Sabotage a bridge road or something equally important,Knows location of a bandit hideout,Elena,Penkawr,0,0
Kynon Bòid,Male,Human,Tribal scar on forearm,Recovering addict,Help child get a good start in life,Makes allusions to events from history or mythology without bothering to explain them,Dowser,Start a fight for you,Knows someone is not what appears to be,Prydwen,Sion,0,2
Celoa Buchanan,Female,Human,Scarred from pox,Disgraced noble,Discover the meaning of life,Is a little unhinged when the moon is full,Bricklayer,Become your servant,Is having an affair,Annest,Kynan,1,2
